Título,Organización,Tipo,Región,País,Fecha límite,Enlace,Afinidad,Prioridad,Estado,Monto estimado (USD),Consultor,Observaciones,Socio vinculado,Votos descarte
Consultor Individual – Cadenas de Valor (UNDP-SLV-00517),PNUD El Salvador,Individual,Centroamérica – El Salvador,—,18-may-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45071,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
Especialista en Gestión Ambiental – Producción más Limpia (AP+L),PNUD Perú,Individual,América del Sur – Perú,—,18-may-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44947,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
Technical Support – Policy Implementation & Stakeholder Coordination (Cocoa),UNDP Indonesia,Individual,Asia – Indonesia,—,18-may-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45124,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Innovation Challenge - Citizen Engagement & Public Feedback Digital Platform (UNDP-LSO-00424),UNDP – UNDP-LSO/LESOTHO,Ambos,Global,—,18-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45182,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Technical Support for Policy Implementation & Stakeholder Coordination for Cocoa (UNDP-IDN-00842),UNDP – UNDP-IDN/INDONESIA,Ambos,Global,—,18-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45124,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
UNDP-SLV-00517 - Consultor Individual Cadenas de Valor (UNDP-SLV-00517),UNDP – UNDP-SLV/EL SALVADOR,Individual,Centroamérica – El Salvador,—,18-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45071,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
Food and non-food supply to UN City Copenhagen Canteen (UNDP-H28-00072),UNDP – UNDP-H28/DENMARK,Ambos,Global,—,18-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44993,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Strengthening Customs outreach and trade facilitation (UNDP-TJK-00607),UNDP – UNDP-TJK/TAJIKISTAN,Ambos,Global,—,18-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44829,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"National Consultant – Institutional and Constitutional Expert (UNDP-LSO-00426,1)",UNDP – UNDP-LSO/LESOTHO,Ambos,Global,—,19-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45275,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Consultancy firm for Implementation of Insurance Innovation Challenge Hackathon. (UNDP-ETH-00715),UNDP – UNDP-ETH/ETHIOPIA,Firma,Global,—,19-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45167,Empresarial,Alta,Identificada,0.0,—,,,Federico Villareal
RFQ - Serviços gráficos e de comunicação institucional (UNDP-BRA-01127),UNDP – UNDP-BRA/BRAZIL,Ambos,América del Sur – Brasil,—,19-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45177,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
AGD - IC Consultoría fortalecer Política Pública de Envejecimiento Onzaga (UNDP-COL-03228),UNDP – UNDP-COL/COLOMBIA,Ambos,América del Sur – Colombia,—,19-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45188,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
IC- National Expert (Agriculture) (UNDP-ALB-00836),UNDP – UNDP-ALB/ALBANIA,Ambos,Global,—,19-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45014,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Consultor Local – Experto en Biomasa / Estrategia Nacional de Bioenergía,PNUD Costa Rica,Individual,Centroamérica – Costa Rica,—,20-may-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45235,Ambos,Alta,Identificada,0.0,—,,,Federico Villareal
Technical Assessment of Crown Breakage and Sustainable Harvesting Practices SLU (UNDP-BRB-00206),UNDP – UNDP-BRB/SAINT LUCIA,Ambos,Global,—,20-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45229,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
UNDP/RFP/13/2026-SUPER-Institutional Support for Strengthening MDSA Framework (UNDP-NPL-00661),UNDP – UNDP-NPL/NEPAL,Firma,Global,—,20-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44949,Empresarial,Alta,Descartada,0.0,—,,,Federico Villareal
"UNDP-SLV-00517 - Consultor Individual Cadenas de Valor (UNDP-SLV-00517,1)",UNDP – UNDP-SLV/EL SALVADOR,Individual,Centroamérica – El Salvador,—,20-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45071,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
Innovation Hub ICT Equipment (UNDP-ZWE-01731),UNDP – UNDP-ZWE/ZIMBABWE,Ambos,Global,—,21-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45552,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
